x,setpoint,measurement
0,0.00,0.00
1,40.00,0.00
2,40.00,25.11
3,40.00,36.47
4,40.00,33.48
5,40.00,32.28
6,40.00,32.88
7,40.00,34.67
8,40.00,33.48
9,40.00,34.08
10,40.00,35.27
11,40.00,33.48
12,40.00,33.48
13,40.00,35.87
14,40.00,33.48
15,40.00,34.08
16,40.00,36.47
17,40.00,34.08
18,40.00,34.08
19,40.00,35.87
20,40.00,34.67
21,40.00,34.08
22,40.00,35.27
23,40.00,35.87
24,40.00,34.67
25,40.00,34.67
26,40.00,35.87
27,40.00,34.08
28,40.00,35.27
29,40.00,35.87
30,40.00,35.27
31,40.00,35.27
32,40.00,35.27
33,40.00,36.47
34,40.00,34.67
35,40.00,35.87
36,40.00,35.87
37,40.00,35.27
38,40.00,35.27
39,40.00,37.07
40,40.00,35.87
41,20.00,34.67
42,20.00,33.48
43,20.00,29.89
44,20.00,25.11
45,20.00,21.52
46,20.00,20.33
47,20.00,19.13
48,20.00,19.13
49,20.00,18.53
50,20.00,17.34
51,20.00,19.13
52,20.00,17.93
53,20.00,17.93
54,20.00,19.73
55,20.00,17.93
56,20.00,17.34
57,20.00,19.13
58,20.00,17.93
59,20.00,17.34
60,20.00,19.73
61,20.00,17.93
62,20.00,16.74
63,20.00,20.33
64,20.00,17.93
65,20.00,17.34
66,20.00,19.73
67,20.00,17.93
68,20.00,18.53
69,20.00,18.53
70,20.00,17.93
71,20.00,19.13
72,20.00,19.13
73,20.00,18.53
74,20.00,18.53
75,20.00,19.13
76,20.00,17.93
77,20.00,19.13
78,20.00,19.13
79,20.00,17.93
80,20.00,18.53
81,0.00,19.13
82,0.00,16.14
83,0.00,13.15
84,0.00,8.37
85,0.00,4.78
86,0.00,0.60
87,0.00,0.00
88,0.00,0.00
89,0.00,0.00
90,0.00,0.00
91,0.00,0.00
92,0.00,0.00
93,0.00,0.00
94,0.00,0.00
95,0.00,0.00
96,0.00,0.00
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100,0.00,0.00
101,0.00,0.00
102,0.00,0.00
103,0.00,0.00
104,0.00,0.00
105,0.00,0.00
106,0.00,0.00
107,0.00,0.00
108,0.00,0.00
109,0.00,0.00
110,0.00,0.00
111,0.00,0.00
112,0.00,0.00
113,0.00,0.00
114,0.00,0.00
115,0.00,0.00
116,0.00,0.00
117,0.00,0.00
118,0.00,0.00
119,0.00,0.00
120,0.00,0.00
121,40.00,0.00
122,40.00,26.90
123,40.00,39.46
124,40.00,37.07
125,40.00,34.67
126,40.00,35.87
127,40.00,35.87
128,40.00,35.87
129,40.00,37.07
130,40.00,36.47
131,40.00,35.27
132,40.00,37.07
133,40.00,37.07
134,40.00,34.67
135,40.00,37.07
136,40.00,37.66
137,40.00,35.27
138,40.00,37.07
139,40.00,37.66
140,40.00,35.27
141,40.00,37.07
142,40.00,37.07
143,40.00,37.07
144,40.00,35.87
145,40.00,37.07
146,40.00,36.47
147,40.00,36.47
148,40.00,37.07
149,40.00,37.07
150,40.00,36.47
151,40.00,36.47
152,40.00,37.66
153,40.00,35.87
154,40.00,37.66
155,40.00,37.66
156,40.00,36.47
157,40.00,37.66
158,40.00,37.66
159,40.00,36.47
160,40.00,38.26
161,20.00,36.47
162,20.00,33.48
163,20.00,30.49
164,20.00,25.11
165,20.00,23.32
166,20.00,22.12
167,20.00,20.33
168,20.00,19.73
169,20.00,20.92
170,20.00,19.13
171,20.00,19.13
172,20.00,20.92
173,20.00,19.13
174,20.00,18.53
175,20.00,20.33
176,20.00,19.13
177,20.00,18.53
178,20.00,20.92
179,20.00,19.13
180,20.00,18.53
181,20.00,20.92
182,20.00,19.73
183,20.00,18.53
184,20.00,20.33
185,20.00,19.73
186,20.00,19.13
187,20.00,19.73
188,20.00,20.33
189,20.00,19.13
190,20.00,19.13
191,20.00,20.33
192,20.00,19.13
193,20.00,19.73
194,20.00,20.33
195,20.00,19.13
196,20.00,19.73
197,20.00,19.73
198,20.00,19.73
199,20.00,19.73
200,20.00,19.73
201,0.00,19.73
202,0.00,17.34
203,0.00,13.75
204,0.00,10.16
205,0.00,6.58
206,0.00,2.99
207,0.00,0.00
208,0.00,0.00
209,0.00,0.00
210,0.00,0.00
211,0.00,0.00
212,0.00,0.00
213,0.00,0.00
214,0.00,0.00
