set;path;label;xmin;ymin;xmax;ymax
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_1000.jpg;car;2812590449;1870350708;3277279305;223225547
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10000.jpg;car;1516353111;1870350708;1203299566;2364301802
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10040.jpg;car;2391924747;1767648005;3619681621;2364301802
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10020.jpg;car;4964833575;1723632561;6300202605;2315395753
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10060.jpg;car;1663096961;1865460103;1325586107;2383864221
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10100.jpg;car;447568741;1606258044;5820839363;2325176963
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10120.jpg;car;1687554269;1806772844;3047380608;2467004505
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10140.jpg;car;0;1889913127;8511143271;2491457529
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_1020.jpg;car;2025065123;1894803732;2391924747;2290942728
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_1040.jpg;car;1164167873;1899694337;1804949349;2290942728
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10480.jpg;car;4739826339;1728523166;6021389291;2310505148
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10500.jpg;car;1496787265;1904584942;2685412446;2374083012
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10520.jpg;car;0;1953490991;3668596237;2344739382
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_1060.jpg;car;4549059334;1929037967;1125036179;2256708494
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10960.jpg;car;6148567294;175297619;676;2173568211
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_10980.jpg;car;3986541245;1885022523;5180057887;2369192407
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11000.jpg;car;1491895803;1948600386;2656063676;2420849421
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11020.jpg;car;0;1977944015;7581765557;2374083012
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11240.jpg;car;4974616498;1841007079;6339334298;2310505148
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11260.jpg;car;275878437;1973053411;4059913169;2447442085
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11280.jpg;car;6261070912;201217825;186853835;2437660875
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11380.jpg;car;5145817656;17627574;6158350217;2290942728
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11400.jpg;car;3311519537;1924147362;429959479;2339848777
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11420.jpg;car;1379392185;1973053411;2387033285;2364301802
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11440.jpg;car;0;199261583;7435021708;2359411197
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11900.jpg;car;5243646889;1845897683;6246396527;2193130631
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11880.jpg;car;6187698987;1816554054;676;2188240026
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11920.jpg;car;4103936324;1938819176;5160492041;2256708494
TRAIN;C:\Users\emila\Documents\Diplomingeniør lokal\GitHubDesktop\Afgangsprojekt\Python\Car_Object_Detection\data\training_images\vid_4_11940.jpg;car;2861505065;1924147362;3830014472;2286052124
