Total:241
Faulty images, tp, fp
019,1,1
021,1,1
022,1,1
023,1,2
024,1,3
025,1,1
026,1,2
027,1,1
028,1,1
029,1,1
031,1,1
032,1,1
033,1,1
035,1,1
036,1,1
037,1,1
042,1,2
048,1,1
051,1,1
061,1,1
064,1,1
066,1,1
067,1,1
068,1,1
072,1,1
073,1,2
074,1,1
075,1,1
076,1,2
077,1,3
078,1,1
079,1,2
080,1,1
083,1,2
084,1,1
113,1,1
118,1,2
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,2
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
158,1,2
160,1,1
161,1,3
162,1,6
163,1,2
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
172,1,1
173,1,1
174,1,9
175,1,7
176,1,11
180,1,1
190,1,1
198,1,1
216,1,2
217,1,1
219,1,1
230,1,1
239,1,1
240,1,7
