x,setpoint,measurement
0,0.00,0.00
1,40.00,0.00
2,40.00,29.89
3,40.00,46.63
4,40.00,41.25
5,40.00,38.86
6,40.00,36.47
7,40.00,35.27
8,40.00,34.67
9,40.00,35.27
10,40.00,35.27
11,40.00,33.48
12,40.00,34.67
13,40.00,34.67
14,40.00,35.27
15,40.00,34.67
16,40.00,33.48
17,40.00,35.27
18,40.00,34.08
19,40.00,34.67
20,40.00,34.67
21,40.00,34.08
22,40.00,35.27
23,40.00,35.27
24,40.00,34.67
25,40.00,34.08
26,40.00,35.87
27,40.00,36.47
28,40.00,34.67
29,40.00,34.67
30,40.00,35.27
31,40.00,35.87
32,40.00,35.27
33,40.00,35.27
34,40.00,35.87
35,40.00,35.87
36,40.00,35.87
37,40.00,36.47
38,40.00,35.27
39,40.00,35.87
40,40.00,36.47
41,20.00,36.47
42,20.00,32.88
43,20.00,28.70
44,20.00,25.11
45,20.00,20.33
46,20.00,19.13
47,20.00,17.93
48,20.00,18.53
49,20.00,18.53
50,20.00,16.74
51,20.00,18.53
52,20.00,17.93
53,20.00,16.74
54,20.00,17.93
55,20.00,17.93
56,20.00,17.93
57,20.00,17.93
58,20.00,17.34
59,20.00,17.93
60,20.00,18.53
61,20.00,17.93
62,20.00,17.34
63,20.00,18.53
64,20.00,17.93
65,20.00,18.53
66,20.00,17.93
67,20.00,17.34
68,20.00,19.13
69,20.00,19.13
70,20.00,16.74
71,20.00,18.53
72,20.00,19.13
73,20.00,17.34
74,20.00,17.93
75,20.00,19.13
76,20.00,17.93
77,20.00,17.93
78,20.00,19.13
79,20.00,18.53
80,20.00,18.53
81,0.00,18.53
82,0.00,16.14
83,0.00,11.96
84,0.00,7.77
85,0.00,4.78
86,0.00,1.20
87,0.00,0.00
88,0.00,0.00
89,0.00,0.00
90,0.00,0.00
91,0.00,0.00
92,0.00,0.00
93,0.00,0.00
94,0.00,0.00
95,0.00,0.00
96,0.00,0.00
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100,0.00,0.00
101,0.00,0.00
102,0.00,0.00
103,0.00,0.00
104,0.00,0.00
105,0.00,0.00
106,0.00,0.00
107,0.00,0.00
108,0.00,0.00
109,0.00,0.00
110,0.00,0.00
111,0.00,0.00
112,0.00,0.00
113,0.00,0.00
114,0.00,0.00
115,0.00,0.00
116,0.00,0.00
117,0.00,0.00
118,0.00,0.00
119,0.00,0.00
120,0.00,0.00
121,40.00,0.00
122,40.00,31.09
123,40.00,48.42
124,40.00,43.04
125,40.00,41.25
126,40.00,37.07
127,40.00,37.07
128,40.00,36.47
129,40.00,35.87
130,40.00,37.66
131,40.00,34.67
132,40.00,37.07
133,40.00,34.67
134,40.00,37.07
135,40.00,35.87
136,40.00,36.47
137,40.00,35.27
138,40.00,36.47
139,40.00,36.47
140,40.00,35.87
141,40.00,35.27
142,40.00,37.07
143,40.00,36.47
144,40.00,36.47
145,40.00,36.47
146,40.00,37.07
147,40.00,36.47
148,40.00,37.66
149,40.00,37.07
150,40.00,37.66
151,40.00,37.07
152,40.00,37.66
153,40.00,37.66
154,40.00,35.87
155,40.00,37.66
156,40.00,37.07
157,40.00,36.47
158,40.00,36.47
159,40.00,36.47
160,40.00,37.66
161,20.00,37.07
162,20.00,31.68
163,20.00,29.29
164,20.00,23.32
165,20.00,20.33
166,20.00,21.52
167,20.00,19.73
168,20.00,17.93
169,20.00,19.73
170,20.00,19.13
171,20.00,17.93
172,20.00,18.53
173,20.00,19.73
174,20.00,18.53
175,20.00,18.53
176,20.00,19.13
177,20.00,19.13
178,20.00,17.93
179,20.00,19.73
180,20.00,19.13
181,20.00,19.13
182,20.00,19.13
183,20.00,19.73
184,20.00,19.13
185,20.00,19.73
186,20.00,19.13
187,20.00,20.33
188,20.00,19.13
189,20.00,20.33
190,20.00,20.33
191,20.00,19.73
192,20.00,20.33
193,20.00,19.13
194,20.00,19.73
195,20.00,19.73
196,20.00,19.73
197,20.00,19.73
198,20.00,19.13
199,20.00,18.53
200,20.00,20.33
201,0.00,19.73
202,0.00,15.54
203,0.00,11.36
204,0.00,7.17
205,0.00,2.99
206,0.00,0.60
207,0.00,0.00
208,0.00,0.00
209,0.00,0.00
210,0.00,0.00
211,0.00,0.00
212,0.00,0.00
213,0.00,0.00
214,0.00,0.00
